Class,Branch,Count_GA,Count_RW
accessories.plugins.time.JDayChooser,93,0,0
accessories.plugins.time.JDayChooser,109,0,0
accessories.plugins.time.JDayChooser,116,1,1
accessories.plugins.time.JDayChooser,118,18,9
accessories.plugins.time.JDayChooser,139,29,19
accessories.plugins.time.JDayChooser,127,27,23
accessories.plugins.time.JDayChooser,36,30,23
accessories.plugins.time.JDayChooser,134,30,27
accessories.plugins.time.JDayChooser,34,28,27
accessories.plugins.time.JDayChooser,18,29,27
accessories.plugins.time.JDayChooser,165,30,30
accessories.plugins.time.JDayChooser,190,30,30
accessories.plugins.time.JDayChooser,172,30,30
apbs_mem_gui.Main,263,0,0
apbs_mem_gui.Main,195,0,0
apbs_mem_gui.Main,272,0,0
apbs_mem_gui.Main,193,0,0
apbs_mem_gui.Main,76,0,0
apbs_mem_gui.Main,152,0,0
apbs_mem_gui.Main,229,0,0
apbs_mem_gui.Main,25,0,0
apbs_mem_gui.Main,259,0,0
apbs_mem_gui.Main,170,0,0
apbs_mem_gui.Main,227,0,0
apbs_mem_gui.Main,381,0,0
apbs_mem_gui.Main,65,0,0
apbs_mem_gui.Main,222,0,0
apbs_mem_gui.Main,329,0,0
apbs_mem_gui.Main,307,0,0
apbs_mem_gui.Main,228,0,0
apbs_mem_gui.Main,124,0,0
apbs_mem_gui.Main,230,0,0
apbs_mem_gui.Main,360,0,0
apbs_mem_gui.Main,316,0,0
apbs_mem_gui.Main,172,0,0
apbs_mem_gui.Main,363,0,0
apbs_mem_gui.Main,378,0,0
apbs_mem_gui.Main,97,0,0
apbs_mem_gui.Main,305,0,0
apbs_mem_gui.Main,309,0,0
apbs_mem_gui.Main,333,0,0
apbs_mem_gui.Main,231,0,0
apbs_mem_gui.Main,138,0,0
apbs_mem_gui.Main,5,0,0
apbs_mem_gui.Main,216,0,0
apbs_mem_gui.Main,173,0,0
apbs_mem_gui.Main,240,0,0
apbs_mem_gui.Main,208,0,0
apbs_mem_gui.Main,159,0,0
bcry.battlecryGUI,17,0,0
bcry.battlecryGUI,26,0,0
bcry.battlecryGUI,29,0,0
bcry.battlecryGUI,61,0,0
bcry.bcGenerator,270,0,0
bcry.bcGenerator,29,0,0
bcry.bcGenerator,209,0,0
bcry.bcGenerator,217,0,0
bcry.bcGenerator,259,0,0
bcry.bcGenerator,148,0,0
bcry.bcGenerator,160,0,0
bcry.bcGenerator,195,0,0
bcry.bcGenerator,260,0,0
