Class,Group
Reference−Null,1
Integer−Integer,1
root,1
Integer−Integer,1
root,1
root,1
Integer−Integer,1
Integer−Integer,1
Integer−Zero,1
Integer−Zero,1
Integer−Zero,1
Integer−Zero,1
root,1
root,1
root,1
Integer−Integer,1
root,1
root,1
Integer−Zero,1
Reference−Null,1
Integer−Integer,1
Integer−Integer,1
Integer−Integer,1
root,1
Reference−Null,1
root,1
root,1
Integer−Zero,1
Integer−Zero,1
root,1
Reference−Null,1
root,1
root,1
root,1
Reference−Null,1
Reference−Null,1
root,1
Integer−Zero,1
Integer−Zero,1
root,1
root,1
Reference−Reference,1
root,1
Integer−Zero,1
Integer−Zero,1
Integer−Zero,1
Integer−Zero,1
root,1
Integer−Zero,1
Integer−Zero,1
root,1
root,1
Integer−Zero,1
Integer−Zero,1
Integer−Zero,1
root,1
root,1
Integer−Integer,1
Integer−Integer,1
root,1
Integer−Zero,1
root,1
root,1
Integer−Zero,1
Integer−Zero,1
root,1
root,1
root,1
Integer−Zero,1
Integer−Integer,1
Integer−Zero,1
Reference−Null,1
root,1
root,1
root,1
root,1
Reference−Reference,1
root,1
Integer−Zero,1
Integer−Zero,1
root,1
Integer−Zero,1
root,1
root,1
Integer−Zero,1
root,1
Integer−Zero,1
root,1
Integer−Zero,1
Integer−Zero,1
root,1
Integer−Zero,1
Integer−Zero,1
root,1
root,1
root,1
root,1
root,1
root,1
root,1
Integer−Integer,1
Integer−Zero,1
Integer−Integer,1
root,1
Reference−Reference,1
Integer−Integer,1
Integer−Integer,1
root,1
root,1
Integer−Integer,1
Integer−Zero,1
root,1
root,1
Integer−Zero,1
Reference−Null,1
Reference−Null,1
root,1
Reference−Reference,1
Reference−Reference,1
root,1
Integer−Zero,1
root,1
root,1
root,1
root,1
root,1
root,1
root,1
root,1
root,1
root,1
Integer−Integer,1
Integer−Zero,1
root,1
root,1
Reference−Reference,1
Integer−Zero,1
Reference−Reference,1
Reference−Reference,1
Integer−Zero,1
root,1
Integer−Integer,1
root,1
root,1
root,1
Reference−Null,1
root,1
Reference−Reference,1
root,1
Integer−Zero,1
root,1
Integer−Zero,1
Integer−Zero,1
root,1
root,1
Reference−Null,1
Integer−Integer,1
Integer−Zero,1
Integer−Zero,1
Integer−Integer,1
Integer−Integer,1
root,1
Reference−Null,1
Reference−Null,1
Reference−Null,1
Integer−Zero,1
root,1
Reference−Null,1
Integer−Integer,1
Integer−Integer,1
Integer−Zero,1
Integer−Zero,1
Integer−Zero,1
root,1
Integer−Zero,1
Integer−Zero,1
root,1
root,1
Reference−Null,1
Integer−Zero,1
Integer−Zero,1
Integer−Zero,1
Integer−Zero,1
root,1
Integer−Integer,1
Reference−Null,1
Reference−Null,1
root,1
Integer−Integer,1
root,1
Integer−Zero,1
Integer−Zero,1
Integer−Zero,1
Integer−Zero,1
root,1
root,1
Integer−Zero,1
root,1
Integer−Zero,1
Integer−Integer,1
Integer−Integer,1
Integer−Integer,1
Integer−Integer,1
Integer−Zero,1
Integer−Zero,1
Integer−Integer,1
Integer−Integer,1
Integer−Zero,1
Integer−Zero,1
root,1
Integer−Zero,1
Reference−Reference,1
Integer−Zero,1
root,1
Integer−Zero,1
root,1
root,1
Integer−Zero,1
Integer−Integer,1
Integer−Zero,1
root,1
root,1
root,1
Integer−Zero,1
root,1
Integer−Zero,1
Integer−Zero,1
Integer−Zero,1
root,1
root,1
root,1
Integer−Zero,1
Integer−Zero,1
Integer−Integer,1
Integer−Integer,1
Integer−Integer,1
Integer−Integer,1
Integer−Integer,1
Integer−Integer,1
Integer−Integer,1
Reference−Null,1
root,1
Integer−Zero,1
Integer−Zero,1
Integer−Zero,1
Integer−Integer,1
root,1
Reference−Null,1
root,1
Integer−Zero,1
root,1
Reference−Null,1
Integer−Zero,1
root,1
root,1
Integer−Zero,1
Integer−Integer,1
Integer−Integer,1
Integer−Integer,1
Integer−Integer,1
root,1
root,1
root,1
root,1
Integer−Zero,1
Integer−Integer,1
Integer−Zero,1
Integer−Integer,1
Integer−Integer,1
Integer−Integer,1
Integer−Integer,1
Integer−Zero,1
Integer−Integer,1
Integer−Zero,1
Integer−Zero,1
Integer−Zero,1
